output,wages,profits,gov_spending,gov_revenue,consumption,unemployment,employed
39898.399999999994,24936.5,14378.3859,16000.0,19040.264574999997,10752.618799999998,0.50127,498.73
62222.926014599994,37347.0,21534.280199999994,16000.0,30161.452526399997,16104.026399999999,0.25306,746.94
73580.6740588,43678.0,25184.734799999995,16000.0,35814.2529392,18833.953599999997,0.12644,873.56
79243.19235119999,46825.5,26999.583299999995,16000.0,38635.2054258,20191.1556,0.06348999999999999,936.51
82090.6702102,48410.5,27913.4943,16000.0,40053.0840818,20874.6076,0.03179000000000003,968.21
83524.32244419999,49208.5,28373.6211,16000.0,40766.9651378,21218.705199999997,0.015830000000000014,984.17
84240.0928434,49606.5,28603.107899999995,16000.0,41123.5049706,21390.322799999998,0.007870000000000007,992.13
84593.87908259999,49803.0,28716.409799999994,16000.0,41299.8000384,21475.0536,0.003940000000000003,996.06
84774.92480119999,49904.0,28774.646399999998,16000.0,41389.8824008,21518.604799999994,0.0019200000000000018,998.08
84870.51980159999,49957.5,28805.494499999997,16000.0,41437.3956594,21541.673999999995,0.0008500000000000007,999.15
84905.41418299999,49976.0,28816.161599999996,16000.0,41455.050921999995,21549.651199999997,0.00048000000000000045,999.52
84927.2449504,49988.5,28823.369099999996,16000.0,41465.8158086,21555.041199999996,0.0002300000000000002,999.77
84938.8819554,49995.0,28827.117,16000.0,41471.6035536,21557.843999999994,0.00010000000000000009,999.9
