period,mean,std,p5,p25,p50,p75,p95
0,0.0018661412177129013,0.0011712864103417828,0.0004996254368994091,0.0005869822739243968,0.0017205544430514141,0.002627122932946757,0.003877390415547577
1,0.0016676205727019402,0.0011685785141104014,0.0002603671885741028,0.0005387464830385691,0.0016363432133709062,0.0025527081805896135,0.0037290889380929837
2,0.0014730250265109729,0.0012007481528291894,4.617348467214882e-06,0.0004886007076525939,0.001301885542445388,0.0025527081805896135,0.0037290889380929837
3,0.0013304763799332547,0.0012104878534886338,0.0,0.0003747190776745568,0.0009556118440720337,0.0023612716447846413,0.0037290889380929837
4,0.0012252924333187914,0.0012100577679242184,0.0,0.0,0.000631779920949487,0.0022229922501463537,0.0037290889380929837
5,0.0011373335884762629,0.0012190062211633506,0.0,0.0,0.0005745037930939834,0.0020383297953929036,0.0037290889380929837
6,0.001088005524871882,0.0012112037701422162,0.0,0.0,0.0005370669498320213,0.0017237037897163921,0.0037290889380929837
7,0.0010428006449996342,0.0012118204772531,0.0,0.0,0.0005370669498320213,0.0017205544430514141,0.0037290889380929837
8,0.0010035843675589517,0.0012190222014110557,0.0,0.0,0.0005245870682308862,0.0017205544430514141,0.0037290889380929837
9,0.0009749638221932642,0.0012269206710060182,0.0,0.0,0.0005245870682308862,0.0017205544430514141,0.0037290889380929837
10,0.000953770885931425,0.0012350309325379599,0.0,0.0,0.00047630282845161786,0.0017205544430514141,0.0037290889380929837
11,0.0009374303998388101,0.0012446003149946486,0.0,0.0,0.0003195693741661163,0.0017205544430514141,0.0037290889380929837
12,0.0009330706088565234,0.0012476284257092853,0.0,0.0,0.00024981271844970454,0.0017205544430514141,0.0037290889380929837
